"","heritablity","no_QTN","dataset","Method","correlation","sd","x_ordered","dataset_ordered"
"108","0.75","100","test","mas_gblup",0.428282008998601,0.123188589059722,"100","test"
"109","0.75","100","train","gs",0.417682810857119,0.0888928720590268,"100","train"
"110","0.75","100","test","gs",0.433025327898858,0.0783820854310605,"100","test"
"111","0.75","100","train","svm",0.532667718846177,0.127434853298017,"100","train"
"112","0.75","100","test","svm",0.536087274442568,0.185249948303023,"100","test"
"113","0.75","500","train","mas_glm",0.472897348288438,0.00738963815187208,"500","train"
"114","0.75","500","test","mas_glm",0.358862058046427,0.168757172753108,"500","test"
"115","0.75","500","train","mas_gblup",0.394245291985672,0.0891003803519066,"500","train"
"116","0.75","500","test","mas_gblup",0.42002594661855,0.0268928773808617,"500","test"
"117","0.75","500","train","gs",0.382064663478345,0.145524872851004,"500","train"
"118","0.75","500","test","gs",0.304372250765564,0.0205143177199514,"500","test"
"119","0.75","500","train","svm",0.375650973767086,0.130054433768002,"500","train"
"120","0.75","500","test","svm",0.352271096183,0.144488036482676,"500","test"
